question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
6982fed297c92115623a5691,social science,7,3.0,FREEDOM MOVEMENT (1885 - 1919 C.E),english,Average,mcq,1.0,"India was subjected to  federal system  of governance by     
A.Portuguese 
B.Dutch 
C.Britishers 
D.French",[],To be provided,LBA,2025-26,Multiple Choice Questions,693274dd53371e8aeb6a502f,7,False,46.391752577319586,social_science_7.pdf,E)
6982fed297c92115623a5693,social science,7,3.0,FREEDOM MOVEMENT (1885 - 1919 C.E),english,Average,mcq,1.0,"The Europeans who referred  Indians as uncivilized are      
. A.Britishers 
 .B.French  
C.Dutch 
D.Portuguese",[],To be provided,LBA,2025-26,Multiple Choice Questions,693274dd53371e8aeb6a502f,7,False,45.45454545454546,social_science_7.pdf,E)
6982fed297c92115623a569f,social science,7,3.0,FREEDOM MOVEMENT (1885 - 1919 C.E),english,Average,mcq,1.0,In this Act were separate electorates granted to Muslims.,"[""Act of 1909"", ""Act of 1919"", ""Act of 1935"", ""Act of 1892""]",To be provided,LBA,2025-26,Multiple Choice Questions,693274dd53371e8aeb6a502f,7,True,54.385964912280706,social_science_7.pdf,E)
6982fed297c92115623a56a1,social science,7,3.0,FREEDOM MOVEMENT (1885 - 1919 C.E),english,Average,mcq,1.0,He founded a significant secret organization in 1899.,"[""Khudhiram Bose"", ""Chandrashekhar Azad"", ""Bhagat Singh"", ""VinayakDamodarSavarkar""]",To be provided,LBA,2025-26,Multiple Choice Questions,693274dd53371e8aeb6a502f,7,True,50.943396226415096,social_science_7.pdf,E)
6982fed297c92115623a56a4,social science,7,3.0,FREEDOM MOVEMENT (1885 - 1919 C.E),english,Average,mcq,1.0,In this year did Gandhiji enter Indian politics.,"[""1915"", ""1916"", ""1919"", ""1920""]",To be provided,LBA,2025-26,Multiple Choice Questions,693274dd53371e8aeb6a502f,7,True,50.0,social_science_7.pdf,E)
6982fed297c92115623a56a5,social science,7,3.0,FREEDOM MOVEMENT (1885 - 1919 C.E),english,Average,mcq,1.0,In this Round Table Conference did the Congress and Gandhiji participate,"[""First Conference"", ""Second Conference"", ""Third Conference"", ""None of the above""]",To be provided,LBA,2025-26,Multiple Choice Questions,693274dd53371e8aeb6a502f,7,False,48.611111111111114,social_science_7.pdf,E)
6982fed297c92115623a56ac,social science,7,3.0,FREEDOM MOVEMENT (1885 - 1919 C.E),english,Average,mcq,1.0,The first woman to lead reform movements in the Mysore princely state,"[""YashodharaDasappa"", ""BallariSiddamma"", ""UmabaiKundapur"", ""KamaladeviChattopadhyay""]",To be provided,LBA,2025-26,Multiple Choice Questions,693274dd53371e8aeb6a502f,7,True,50.72463768115942,social_science_7.pdf,E)
6982fed297c92115623a56ad,social science,7,3.0,FREEDOM MOVEMENT (1885 - 1919 C.E),english,Average,mcq,1.0,"The courageous woman said, ""The price of wearing Gandhi's khadi is six months' 
imprisonment.","[""BallariSiddamma"", ""KamaladeviChattopadhyay"", ""UmabaiKundapur"", ""YashodharaDasappa""]",To be provided,LBA,2025-26,Multiple Choice Questions,693274dd53371e8aeb6a502f,7,False,46.7391304347826,social_science_7.pdf,E)
6982fed297c92115623a56b0,social science,7,3.0,FREEDOM MOVEMENT (1885 - 1919 C.E),english,Average,mcq,1.0,In this  year did the British government send the Cabinet Mission to India.,"[""1942"", ""1946"", ""1947"", ""1945""]",To be provided,LBA,2025-26,Multiple Choice Questions,693274dd53371e8aeb6a502f,7,False,47.297297297297305,social_science_7.pdf,E)
6982fed297c92115623a56b2,social science,7,3.0,FREEDOM MOVEMENT (1885 - 1919 C.E),english,Average,mcq,1.0,A) Jawaharlal Nehru,"[""Acharya Narendra Deva"", ""Jayaprakash Narayan"", ""Ram ManoharLohia \n \n \n \n \n \n \n26. Originally, Adivasis were engaged in this occupation."", ""Farmers""]",To be provided,LBA,2025-26,Multiple Choice Questions,693274dd53371e8aeb6a502f,7,False,47.36842105263158,social_science_7.pdf,E)
